Alias,Documented Name
NSG OOO,
"Non-Latin: Global Marine Ship Management Co., Ltd.",Non-Latin: 匯海船舶管理有限公司
Non-Latin: 汇海船舶管理有限公司,"Non-Latin: Huihai Ship Management Co., Ltd."
"Non-Latin: Fenghui Ship Management Co., Ltd.",Non-Latin: 豐匯船舶管理有限公司
"Global Marine Ship Management Co., Limited",
Bushehr Petrochemical Company,
Bupc,
Shanghai Xuanrun Shipping Company Limited,
Swedish Management CO SA,
Shiraz Petrochemical Company,
SPC,
Shiraz Petrochemical Co.,
Shiraz Petrochemical Complex,
Shiraz Petrochemical,
Golden Lotus Oil Gas and Real Estate Joint Stock Company,
Golden Lotus Oil Gas & Real,
GOLDEN LOTUS OIL GAS AND REAL,
Dolphin,
Lauren,
Rising Harrier,
Golden Bridge,
Cattle Force,
Golden Phoenix,
Hercules,
Jamaica,
Gladiator,
Golden Light 09,
Gas Cathar,
Rising Eagle,
Yong Xiang 29,
Rising Falcon,
Forever Rich,
Yong Xin,
Xuan Ning,
Liang Sheng,
Joint Stock Company Commercial Bank Lanta Bank,
Closed Joint Stock Company Commercial Bank Lanta Bank,
Full Star,
Amias,
LENSKAYA,Elena
Lenskaya,Yelena
"FORWARD SYSTEMS, R&DC",
Non-Latin: ZAO NTTs Peredovye Sistemy,Non-Latin: ЗАО НТЦ Передовые Системы
CJSC NTTs Peredovye Sistemy,
"Forward Systems, R and DC",
Non-Latin: Metallurg-Tulamash OOO,Non-Latin: ООО Металлург Туламаш
Non-Latin: Задачин,Non-Latin: Андрей
Non-Latin: Михеев,Non-Latin: Данила
Mikheyev,Danila
Limited Liability Company Maxtech,
Limited Liability Company Maxteh,
Makstekh,
Makstech,
MaxtechSolutions,
Maxtech Solutions,
Maxtech IT Solutions,
Max AI,
MaxAI,
Limited Liability Company Promtekhekspert,
PTE OOO,
PSV Technologies LLC,
PSV Tekhnologii OOO,
PSV-Tech,
Eshstrut,Anastasiya
Zhukova,Anastasiya
Zhukova,Anastasija
Zhukova,Anastasia
Safonov,Maksim
Safonov,Maxim
Safonov,Maksim
Petrov,Sergei
GLOBAL VISINESS PTE. LTD.,
"GOLDENIX CO., LIMITED",
"Non-Latin: NINGBO MORE INTEREST I/E CO., LTD.",Non-Latin: 宁波市摩利进出口有限公司
"Ningbo More Interest Imp. & Exp. Co., Ltd.",
"NINGBO MORE INTEREST IMP. AND EXP. CO., LTD.",
"HK SIHAI YINGTONG INDUSTRY CO., LIMITED",
"Tropical Rain Forest Logistics Co., Limited",
"HONGKONG CANWAY CO., LIMITED",
Non-Latin: 金信諾貿易有限公司,Non-Latin: JIN XIN NUO TRADING LIMITED
Bank Saint-Petersburg Public Joint Stock Company,
Bank Saint-Petersburg PJSC,
Bank Saint Petersburg,
OJSC Bank Saint Petersburg,
Novosibirsk Social Commercial Bank Levoberezhny Public Joint Stock Company,
Novosibirsk Social Commercial Bank Levoberezhny Open Joint Stock Company,
Dutta,Surya
Subramaniam,Sharda
Mavasal Impex Private Limited,
Innoedge Cloudserve Private Limited,
Non-Latin: ООО Тпз-Рондоль,Non-Latin: TPZ-Rondol OOO
Non-Latin: Joint Stock Company Central Scientific Research Institute Burevestnik,Non-Latin: Акционерное Общество Центральный Научно-Исследовательский Институт Буревестник
JSC CRI Burevestnik,
TSNII Burevestnik AO,
"MELIKAL FOR MEDICAL & MEDICINE TRADING CO., LIMITED",
"MELIKAL FOR MEDICAL AND MEDICINE TRADING CO., LIMITED",
NAAB KIMYA DIS TICARET LIMITED SIRKETI,
HERSTEL TRADING LIMITED,
Non-Latin: 灝晟錦國際貿易有限公司,"Non-Latin: HORRYZIN INTERNATIONAL TRADE CO., LIMITED"
Non-Latin: ALBAHR ALAAHMAR OFFSHORE REFINED OIL PRODUCT TRADING L.L.C,Non-Latin: البحر الاحمر لتجارة مشتقات النفط خارج الدولة ش.ذ.م.م
Non-Latin: 박,Non-Latin: 화성
Congo Aconde SARL,
Moretti,Walter
Mueller,Markus
Koller,Bruno
Swisstec 3D Akus AG,
Cosman,Ronald
Taerio International Ltd EOOD,
Interpolytrade Limited Company,
Interpolitreid OOO,
Tamyna AG,
Tamyna Ltd,
Tamyna SA,
International Maritime Corporation,
IMSC GmbH,
IMSC AG,
Schommer,Lutwin
Bomatter,Hans Peter
Moretti,Svetlana
Non-Latin: البحر الأحمر للطاقة م م ح,Non-Latin: ALBAHR ALAAHMAR ENERGY FZE
Taerio Limited,
Tamyna FZE,
Tamimed,
Stratton Investment Group Ltd,
Villa,Frederic
Non-Latin: لونجفورد للتجارة ش.ذ.م.م,Non-Latin: Longford Trading L.L.C
Nashville HK Limited,
Non-Latin: Main Computation Center of the General Staff of the Armed Forces of the Russian Federation,Non-Latin: Главный Вычислителный Центр Генералнього Штаба Вооруженных Сил Россиской Федерации
Non-Latin: GVC,Non-Latin: ГВЦ
Non-Latin: Vostochnaya Verf Joint Stock Company,Non-Latin: Акционерное общество Восточная Верфь
Vostochnaya Verf PAO,
Non-Latin: АО Восточная Верфь,Non-Latin: AO Vostochnaya Verf
Non-Latin: Nord Trading L.L.C,Non-Latin: نورد للتجارة ش.ذ.م.م
Non-Latin: Salita Trade Limited,Non-Latin: 薩利塔貿易有限公司
Saiqi Trade Limited,
Non-Latin: Shams Alrabeea Chemicals Trading L.L.C,Non-Latin: شمس الربيع لتجارة الكيماويات ذ.م.م
Non-Latin: الكشاف لتجارة البترول و البتروكيماويات ش.ذ.م.م,Non-Latin: Al Kashaf Petroleum and Petrochemical Trading L.L.C
"Unite Resources Co., Limited",
Unite Resources Commercial Limited,
Uniteres,
Qi Group Limited,
Univest Limited,
"Multi Well Trading Co., Limited",
Non-Latin: Bavi General Trading CO L.L.C,Non-Latin: ‫شركة باوي للتجارة العامة ش.ذ.م.م‬
Maslov,Ivan
Maslov,Ivan
"Marafi International Trading Co., Limited",
Non-Latin: Sparrow Trading FZE,Non-Latin: سبارو تريدينغ م م ح
Non-Latin: Greenland Oil & Gas Trading FZE,Non-Latin: جرينلاند اويل & غاز تريدينغ م م ح
Greenland Oil and Gas Trading FZE,
Lowell Limited,
Dragon Trading Limited,
Non-Latin: The Joint Stock Company State Research Center of the Russian Federation Troitsk Institute for Innovation and Fusion Research,Non-Latin: АО Государственный Научный Центр Российской Федерации Троицкий Институт Инновационных и Термоядерных Исследований
Troitsk Institute of Innovative and Thermonuclear Research,
Troitskii Institute of Innovative and Thermonuclear Research,
JSC Gosudarstvenny Nauchny Center Rossiyskoy Federatsii Troitsky Institut Innovatsionnykh i Termoyadernykh Issledovany,
Energospecmontazh JSC,
JSC Energospecmontazh,
Non-Latin: АО ЭНЕРГОСПЕЦМОНТАЖ,Non-Latin: JSC Energospetsmontazh
Trest Rosspetsenergomontazh OOO,
OOO Trest Rosspetsenergomontazh,
Trust Rosspetsenergomontazh,
Non-Latin: LLC Trest Rosspetsenergomontazh,Non-Latin: ООО Трест Росспецэнергомонтаж
ALLIANCE ENERGY PVT. LIMITED,
Alliance Energy Co.,
Non-Latin: الشيفان لاين تريدنج م م ح,Non-Latin: ALSHIVAN LINE TRADING FZE
Non-Latin: 香港如意國際貿易有限公司,Non-Latin: HONGKONG WELL INTERNATIONAL TRADING LIMITED
Non-Latin: Акционерное Общество Московский Ордена Трудового Красного Знамени Начно-Исследователъский Радиотехнический Институт,Non-Latin: Joint Stock Company Moscow Order of the Red Banner of Labor Research Radio Engineering Institute
Joint-Stock Company Moscow Research Scientific Radio Communication Institute,
JSC MNIRTI,
Aktsionernoe Obshchestvo Moskovski Ordena Trudovogo Krasnogo Znameni Nauchno-Issledovatelski Radiotekhnicheski Institut,
Moskovski Ordena Trudovogo Krasnogo Znameni Nauchno-Issledovatelski Radiotekhnicheski Institut PAO,
Non-Latin: بوردو لتجارة المواد البلاستيكية ش.ذ.م.م,Non-Latin: BORDO PLASTIC MATERIALS TRADING L.L.C
DAYAN GLOBAL TRADE DIS TICARET ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI,
DAYAN GLOBAL,
Non-Latin: فيرتريد لتجارة الزيوت والغاز المسال ذ.م.م,Non-Latin: FAIRTRADE NON EDIBLE OIL AND LIQUEFIED NATURAL GAS TRADING L.L.C
Non-Latin: فامين م م ح,Non-Latin: FAMIN FZE
famin trading,
Orlov,Vasiliy
Orlov,Vasilii
FORABEN TRADING LIMITED,
Non-Latin: MEHR PETROCHEMICAL COMPANY,Non-Latin: شرکت پتروشیمی مهر
mehr petrochemical complex,
Tsybulskiy,Aleksandr
Tsybulsky,Alexander
Non-Latin: Бабушкин,Non-Latin: Игор
Non-Latin: شرکاء صراقی کامبیزنبی زاده و,Non-Latin: KAMBIZ NABIZADEH AND PARTNERS EXCHANGE
NABI ZADEH EXCHANGE,
SARAFI KAMBIZ NABIZADEH VA SHORAKA,
Non-Latin: Цыденов,Non-Latin: Алексей
Non-Latin: Копин,Non-Latin: Роман
Melikov,Sergey
Non-Latin: Калиматов,Non-Latin: Махмуд-Али
Non-Latin: Кобзев,Non-Latin: Игорь
Voskresenskiy,Stanislav
Voskresensky,Stanislav
Desyatova,Natalya
Lyutova,Nataliya
Lyutova,Nataliya
Desiatova,Natalia
Skabeyeva,Olga
Skabyeva,Olga
Skabeeva,Olga
Skabyeyeva,Olha
Non-Latin: Joint Stock Company Votkinskiy Zavod,Non-Latin: Акционерное общество Воткинский Завод
Joint Stock Company Votkinskiy Plant,
Votkinski Zavod AO,
Non-Latin: Open Joint Stock Company Corporation Novosibirsk Plant Elektrosignal,Non-Latin: Открытое Акционерное Общество Корпорация Новосибирский Завод Электросигнал
OAO Elektrosignal Plant,
Elektrosignal Corporation,
Non-Latin: Закрытое Акционерное общество Специальное Конструкторское Бюро,Non-Latin: Closed Joint Stock Company Special Construction Bureau
SKB ZAO,
SKB AO,
Spetsialnoe Konstruktorskoe Byuro ZAO,
Golikova,Tatyana
Golikova,Tatyana
Golikova,Tatiyana
Non-Latin: Христенко,Non-Latin: Виктор
Non-Latin: Общество С Ограниченной Ответственностью СТК,Non-Latin: Limited Liability Company STK
STK OOO,
Non-Latin: Акционерное общество Морская арктическая геологоразведочная экспедиция,Non-Latin: JOINT STOCK COMPANY MARINE ARCTIC GEOLOGICAL EXPEDITION
JSC MAGE,
Non-Latin: Limited Liability Company Golfesteit,Non-Latin: Общество С Ограниченной Ответственностью Гольфэстейт
Golfesteit OOO,
Non-Latin: Борисов,Non-Latin: Игорь
Non-Latin: Общество С Ограниченной Ответственностью Лайфинвест,Non-Latin: Limited Liability Company Laifinvest
Laifinvest OOO,
Matytsin,Oleg
Matytsin,Oleg
Non-Latin: LIMITED LIABILITY COMPANY ANTELS,Non-Latin: Общество С Ограниченной Ответственностью Антэлс
Antels OOO,
Russian Federal Nuclear Center - Zababakhin All-Russia Research Institute of Technical Physics,
VNIITF,
Zababakhin All-Russia Research Institute of Technical Physics,
Chelyabinsk-70,
Vserossiysky Nauchno-Issledovatelskiy Institut Tekhnicheskoy Fiziki,
RFNC-VNIITF,
Kasli Nuclear Weapons Development Center,
Zababakhin Institute,
Federal State Unitary Enterprise Russian Federal Nuclear Center-Academician E.I. Zababkhin All-Russian Scientific Research Institute of Technical Physics,
Non-Latin: Казакова,Non-Latin: Валентина
Kazakova,Valentyna
Kokov,Kazbek
Kokov,Kazbek
Non-Latin: Магомедов,Non-Latin: Магомедсалам
Kotyakov,Anton
All-Russian Scientific Research Institute of Experimental Physics,
VNIIEF,
Vserossiyskiy Nauchno-Issledovatelskiy Institut Eksperimentalnoy,
RFNC-VNIIEF,
Khariton Institute,
Sarov Nuclear Weapons Plant,
Avangard Electromechanical Plant,
Federal State Unitary Enterprise Russian Federal Nuclear Center-All Russian Scientific Research Institute of Experimental Physics,
Arzamas-16,
Non-Latin: LLC SPETSAVIA,Non-Latin: ООО СПЕЦАВИА
AMT-Spetsavia,
AMT-Specavia,
AMT-Spetsavia Group,
Khasikov,Batu
Khasikov,Batu
Non-Latin: Фальков,Non-Latin: Валерий
Non-Latin: Шапша,Non-Latin: Владислав
Federal State Unitary Enterprise Dukhov Automatics Research Institute,
VNIIA,
All-Russia Research Institute of Automatics,
Federal State Unitary Enterprise All-Russian Automatics Research Institute named after N.L. Dukhov,
Joint Stock Company Lenmorniiproekt,
Lenmorniiproekt PAO,
Aktsionernoe Obshchestvo Lenmorniiproekt Po Proektirovaniyu,
Non-Latin: Шульгинов,Non-Latin: Николай
Main Directorate of Deep Sea Research,
GUGI,
Glavnoye Upravlenie Glubokovodsk Issledovanii,
Federal State Institution Military Unit 40056,
Non-Latin: Любимова,Non-Latin: Ольга
KOZLOV,Aleksandr
Kozlov,Alexander
Joint Stock Company Operating Organization of Zaporizhzhya NPP,
Joint Stock Company Operating Organization Zaporizhzhya Nuclear Power Plant,
JSC OE ZNPP,
Non-Latin: Жога,Non-Latin: Артем
Zhoga,Artem
Zhoga,Artyom
Romanenko,Oleg
Romanenko,Oleg
Romanenko,Oleg
Non-Latin: Чекунков,Non-Latin: Алексей
Chekunkov,Aleksei
Non-Latin: Солодов,Non-Latin: Владимир
Non-Latin: Батальон Спарта,Non-Latin: Sparta Battalion
DPR Sparta,
Non-Latin: Шадаев,Non-Latin: Максут
Temrezov,Rashid
Temrezov,Rashid
Sokolov,Aleksandr
Sokolov,Alexander
Non-Latin: Парфенчиков,Non-Latin: Артур
Non-Latin: Куренков,Non-Latin: Александр
Kurenkov,Alexander
POLA HARITA,
Non-Latin: Зайцев,Non-Latin: Юрий
Zaitsev,Yuriy
Tsivilev,Sergey
Tsivilyov,Sergei
Tsivilev,Sergey
Degtyarev,Mikhail
Degtyaryov,Mikhail
Non-Latin: Коновалов,Non-Latin: Валентин
Non-Latin: Federal State Unitary Enterprise Federal Center Of Dual Technologies Soyuz,Non-Latin: Федеральное Государственное Унитарное Предприятие Федеральный Центр Двойных Технологий Союз
FSUE FCDT Soyuz,
Federal Center for Dual Use Technologies Soyuz,
Federal State Unitary Enterprise FTsDT Soyuz,
Non-Latin: Малков,Non-Latin: Павел
Milekhin,Yuriy
Milekhin,Yuriy
Non-Latin: Бусаргин,Non-Latin: Роман
Klychkov,Andrey
Non-Latin: Мазур,Non-Latin: Владимир
Non-Latin: Махонин,Non-Latin: Дмитрий
Evraev,Mikhail
Yevrayev,Mikhail
Non-Latin: Joint Stock Company Argus Holding,Non-Latin: Акционерное Общество Аргус Холдинг
Argus-Kholding AO,
Non-Latin: Суровикина,Non-Latin: Анна
Non-Latin: Joint Stock Company Argus SFK,Non-Latin: Акционерное Общество Аргус СФК
Argus SFK OOO,
Argus SFK AO,
Non-Latin: Общество с ограниченной ответственностью Искусство Красоты,Non-Latin: Limited Liability Company Iskusstvo Krasoty
Non-Latin: Limited Liability Company Rudniy,Non-Latin: Общество с ограниченной ответственностью Рудный
Non-Latin: OOO Rudniy,Non-Latin: ООО Рудный
Rudny LLC,
Brechalov,Aleksandr
Brechalov,Alexander
Russkikh,Aleksey
Ruskykh,Oleksii
Russkikh,Alexey
Russkikh,Aleksei
Non-Latin: Ховалыг,Non-Latin: Владислав
Non-Latin: Кожемяко,Non-Latin: Олег
Kozhemiako,Oleh
Non-Latin: LIMITED LIABILITY COMPANY ASTRAKOM,Non-Latin: Общество с Ограниченной Ответственностью Астраком
Astracom Co. Ltd.,
Non-Latin: Closed Joint Stock Company Norsi Trans,Non-Latin: Закрытое Акционерное Общество Норси Транс
Zakrytoe Aktsionernoe Obshchestvo Norsi Trans,
CJSC Norsi-Trans,
Non-Latin: Ведерников,Non-Latin: Михаил
Non-Latin: CLOSED JOINT STOCK COMPANY RSK TECHNOLOGIES,Non-Latin: Закрытое Акционерное Общество РСК Технологии
ZAO RSK Tekhnologii,
RSC Group,
RSK Group of Companies,
Non-Latin: Лимаренко,Non-Latin: Валерий
Ovchinnikov,Sergei
Ovchinnikov,Sergej
MOSKOVSKY,Alexander
Moskovskij,Aleksandr
Osipov,Aleksandr
Osipov,Alexander
Osipov,Aleksander
Non-Latin: Хорохордин,Non-Latin: Олег
Non-Latin: LLC Titan-Avangard,Non-Latin: ООО Титан-Авангард
Non-Latin: Additive Solutions,Non-Latin: Аддитивные решения
AddSol,
Non-Latin: Руденя,Non-Latin: Игорь
Kumpilov,Murat
SHMELEV,Alexey
Shmelev,Aleksei
Botlikh Radio Plant Limited Liability Company,
Non-Latin: ООО Ботлихский Радиозавод,Non-Latin: Botlikhski Radiozavod OOO
Non-Latin: Pola Raiz OOO,Non-Latin: Пола Райз ООО
Pola Rise LLC,
Pola Rayz OOO,
Komarova,Natalya
Komarova,Natalia
Non-Latin: Ситников,Non-Latin: Сергей
Non-Latin: LIMITED LIABILITY COMPANY RSK LABS,Non-Latin: Общество с Ограниченной Ответственностью РСК Пабс
RSK Labs OOO,
Non-Latin: Государственное Унитарное Предприятие Государственный Зерновой Оператор,Non-Latin: STATE UNITARY ENTERPRISE STATE GRAIN OPERATOR
Non-Latin: Бусел,Non-Latin: Никита
POLA DUDINKA,
POLA SEVASTIANA,
POLA MAKARIA,
POLA FILOFEIA,
POLA SOFIA,
POLA FEODOSIA,
POLA FIVA,
POLA ANATOLIA,
POLA ANFISA,
POLA GALI,
Non-Latin: PUBLIC JOINT STOCK COMPANY ZAVOD TULA,Non-Latin: ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЗАВОД ТУЛА
Zavod Tula PAO,
PJSC Zavod Tula,
Non-Latin: OOO TAIMYRNEFTEGAZ-PORT,Non-Latin: ООО ТАЙМЫРНЕФТЕГАЗ-ПОРТ
Obshchestvo s Ogranichennoi Otvetstvennostyu Taimyrneftegaz-Port,
Taimyrneftegaz-Port LLC,
Taymyrneftegaz-Port,
Non-Latin: KAZANSKII OPTIKO-MEKHANICHESKII ZAVOD AO,Non-Latin: Казанский Оптико-Мехаический Завод АО
Kazan Optical-Mechanical Plant Joint Stock Company,
JSC Kazan Optical and Mechanical Plant,
Non-Latin: Joint Stock Company Eniks,Non-Latin: Акционерное общество Эникс
ENIKS AO,
JSC ENIKS,
POLA MIROPIA,
ASTROL-1,
Kondratyev,Veniamin
Kondratiev,Veniamin
Non-Latin: Шумков,Non-Latin: Вадим
Shumkov,Vadim
Nosov,Sergey
Melnichenko,Oleg
Non-Latin: Здунов,Non-Latin: Артём
Zdunov,Artyom
Non-Latin: Чибис,Non-Latin: Андрей
Bezdudniy,Yuriy
Bezdudny,Yury
Non-Latin: Никитин,Non-Latin: Глеб
Burkov,Aleksandr
Burkov,Oleksandr
Non-Latin: Limited Liability Company Citadel,Non-Latin: Общество С Ограниченной Ответственностью Цитадель
Non-Latin: ООО Цитадель,Non-Latin: LLC Tsitadel
Obshchestvo s Organichennoi Otvetstvennostyu Tsitadel,
Tsitadel Group,
Citadel LLC,
Citadel OOO,
Citadel Holding,
Cherepennikov,Anton
Cherepennikov,Anton
Non-Latin: Limited Liability Company Holding Intelligent Computer Systems,Non-Latin: Общество С Ограниченной Ответственностью Холдинг Интеллектуальные Компьютерные Системы
Non-Latin: IKS Holding,Non-Latin: ИКС Холдинг
X-Holding,
Non-Latin: Общество С Ограниченной Ответственностью Основа Лаб,Non-Latin: Limited Liability Company Osnova Lab
Non-Latin: Общество С Ограниченной Ответственностью Малвин Системс,Non-Latin: Limited Liability Company Malvin Systems
Malvine Systems,
Non-Latin: Общество С Ограниченной Ответственностью Мфи Софт,Non-Latin: Limited Liability Company MFI Soft
Non-Latin: Общество С Ограниченной Ответственностью Техаргос,Non-Latin: Limited Liability Company Tekhargos
Non-Latin: Общество С Ограниченной Ответственностью Сигнатек,Non-Latin: Limited Liability Company Signatek
Non-Latin: Общество С Ограниченной Ответственностью Бастион,Non-Latin: Limited Liability Company Bastion
Non-Latin: Общество С Ограниченной Ответственностью АДМ Системы,Non-Latin: Limited Liability Company ADM Systems
OOO ADM Sistemy,
Non-Latin: Общество С Ограниченной Ответственностью Гарда Технологии,Non-Latin: Limited Liability Company Garda Technologies
Non-Latin: LIMITED LIABILITY COMPANY SCIENTIFIC AND PRODUCTION COMPANY TEKHINKOM,Non-Latin: ООО НПФ Техинком
Non-Latin: LLC Scientific and Production Firm Techinkom,Non-Latin: Общество с ограниченной ответственностью Научно-производственная фирма Техинком
NPF Tehinkom OOO,
"Hangzhou Fuyang Koto Machinery Co., Ltd",
"Koto Machinery Co., LTD",
"Koto Machinry Co., Ltd",
Hangzhou Fuyang Koto Machinery,
Hangzhou Fuyang Koto Machinery Co.,
Non-Latin: KNS GROUP OOO,Non-Latin: КНС Групп ООО
Non-Latin: Obshchestvo S Ogranichennoi Otveststvennostyu KNS Group,Non-Latin: Общество С Ограниченной Ответственностью КНС Групп
KNS Group LLC,
Non-Latin: Yadro,Non-Latin: Ядро
Non-Latin: JSC SCIENTIFIC AND PRODUCTION COMPANY KRYPTONIT,Non-Latin: Криптонит
Kryptonite NPK,
NPK Kryptonit,
Kryptonit NPC,
Non-Latin: 桂林阿尔法橡塑科技有限公司,"Non-Latin: Guilin Alpha Rubber & Plastics Technology Co., Ltd"
Guilin Alpha Rubber & Plastics Technology Company,
"GUILIN ALPHA RUBBER AND PLASTICS TECHNOLOGY CO., LTD",
GUILIN ALPHA RUBBER AND PLASTICS TECHNOLOGY COMPANY,
"S&C Trade Pty Co., Ltd",
S&C Trade PTY LTD,
"S AND C TRADE PTY CO., LTD",
S AND C TRADE PTY LTD,
Yuan,Yun
Yuan,Yunxia
Yuan,Chilli
POLA PELAGIA,
ALEKSANDR SOKOLOV,
POLA ANASTASIA,
"Shenzhen Caspro Technology Co., Ltd",
"CASPRO Technology Co., Ltd",
"CASPRO TECHNOLOGY CO., LIMITED",
Shenzhen CASPRO Technology Ltd.,
CASPRO TECHNOLOGY LTD,
POLA MARIA,
POLA YAROSLAVA,
Non-Latin: 瑞文機械有限公司,Non-Latin: Raven International Trade Limited
POLA VARVARA,
POLA AGATA,
POLA ALEXIA,
POLA MARINA,
Averyanov,Yuriy
Averyanov,Yuriy
Non-Latin: Разинкин,Non-Latin: Анатолий
Stankovic,Dragan
GLOTREASURE COMPANY LIMITED,
Non-Latin: Суходолов,Non-Latin: Алексей
Sukhodolov,Alexey
PARDO,ESPINO
"BESTHINGS, S.A. DE C.V.",
"PRODUZIONI PECA, S. DE R.L. DE C.V.",
"RH LITMAN, S. DE R.L. DE C.V.",
"SERVICIOS ADMINISTRATIVOS DANTWOO, S.A. DE C.V.",
"SOCIEDAD SPA PENINSULA, S. DE R.L. DE C.V.",
TARDENCILLA,RODRIGUEZ
RODRIGUEZ,MEJIA
Sviridenko,Oleg
Sviridenko,Oleg
Non-Latin: Козлов,Non-Latin: Илья
Non-Latin: Мищенко,Non-Latin: Диана
Latt,Tun
Soe,Win
Star Sapphire Group Pte. Ltd.,
Star Sapphire Trading Company Limited,
"Star Sapphire Trading Co., Ltd.",
Amiri,Mahdi
Amiri,Mehdi
Non-Latin: شرکت ناجی پاس,Non-Latin: NAJI PAS COMPANY
Naji Pas,
Non-Latin: اصغریان,Non-Latin: رضا
ROTHSCHUH,ANDINO
Non-Latin: مؤسسه ناجی پارس امین,Non-Latin: NAJI PARS AMIN INSTITUTE
Naji Pars Institute,
NAPA,
Naji Pars Amin Non-Commercial Institute,
ABDOLLAHINEJAD,Bahram
Non-Latin: ENTEBAGH GOSTAR SEPEHR COMPANY,Non-Latin: شرکت انطباق گستر سپهر
Entebagh Gostar Sepehr,
Entebagh Gostar Company,
ESG Group,
Non-Latin: رمضانیان ثانی,Non-Latin: غلامرضا
Ramezanian,Reza
Ramadaniyyan Thani,Ghlamrda
Sani Ramazan Gholamreza,Ramazanian
Shahsavari,Habib
Chaharmahali,Ali
Cheharmahali,Ali
Bakhshi,Dariush
Non-Latin: موسوی,Non-Latin: سید عبدالرحیم
Luis,Eduardo
Joel,Alexandro
Non-Latin: حلم الصحراء لتجارة الاجهزه الكهربائيه,Non-Latin: Hulm Al Sahra Electric Devices Trading
Hulm Al Sahra Elect Devices Tr,
Hulm Al Sahra Electric Devices Trading Ltd,
Non-Latin: 苏州小栗医药科技有限公司,"Non-Latin: SUZHOU XIAOLI PHARMATECH CO., LTD"
Non-Latin: 王,Non-Latin: 洪飞
Non-Latin: 姚,Non-Latin: 华涛
"Non-Latin: WUHAN SHUOKANG BIOLOGICAL TECHNOLOGY CO., LTD",Non-Latin: 武汉硕康生物科技有限公司
Non-Latin: 吴,Non-Latin: 雅琴
Guo,Chunyan
Asia Sun Group,
Asia Sun Group Company Limited,
Mehmedagic,Osman
Osmica,
OPEN JOINT STOCK COMPANY MINSK AUTOMOBILE PLANT,
OJSC Minsk Automobile Plant,
Non-Latin: ОАО Минский автомобильный завод,Non-Latin: OAO Minski Avtomobilnyi Zavod
Non-Latin: AAT Minski autamabilny zavod,Non-Latin: ААТ Мiнскi аўтамабiльны завод
Non-Latin: Otkrytoe Aktsionernoe Obshchestvo Minskii Avtomobilnyi Zavod - Upravlyayushchaya Kompaniya Kholdinga Belavtomaz,Non-Latin: Открытое акционерное общество Минский Автомобильный Завод - управляющая компания холдинга Белавтомаз
Open Joint Stock Company Minsk Automobile Plant - Management Company of Holding Belavtomaz,
Non-Latin: Адкрытае акцыянернае таварыства Мiнскi Аўтамабiльны Завод - кiруючая кампанiя холдынгу Белаўтамаз,Non-Latin: Adkrytaye aktsyyanernaye tavarystva Minski Autamabillny Zavod - kiruyuchaya kampaniya kholdyngu Belautamaz
OJSC MAZ,
OPEN JOINT STOCK COMPANY BELARUSIAN AUTOMOBILE PLANT,
Belarusski Avtomobilnyi Zavod,
Non-Latin: OAO BELAZ - Upravlyayushchaya Kompaniya Kholdinga Belaz-Kholding,Non-Latin: ОАО БЕЛАЗ - управляющая компания холдинга БЕЛАЗ-ХОЛДИНГ
OJSC BELAZ - Management Company of Holding BELAZ-HOLDING,
Non-Latin: AKA: ААТ БЕЛАЗ - кіруючая кампанія холдынгу БЕЛАЗ-ХОЛДЫНГ,Non-Latin: AAT BELAZ - kiruyuchaya kampaniya kholdyngu BELAZ-KHOLDYNG
Non-Latin: Открытое Акционерное Общество Белорусский металлургический завод управляющая компания холдинга Белорусская металлургическая компания,Non-Latin: OPEN JOINT STOCK COMPANY BYELORUSSIAN STEEL WORKS MANAGEMENT COMPANY OF HOLDING BYELORUSSIAN METALLURGICAL COMPANY
Non-Latin: OJSC Belarusian Metallurgical Plant Management Company of Holding Belarusian Metallurgical Company,Non-Latin: ОАО Белорусский металлургический завод управляющая компания холдинга Белорусская металлургическая компания
Non-Latin: ОАО БМЗ управляющая компания холдинга БМК,Non-Latin: OJSC BSW Management company of BMC Holding
OAO BMZ Upravlyayushchaya Kompaniya Kholdinga BMK,
Belorusski Metallurgicheski Zavod Respublikanskoe Unitarnoe Predpriyatie,
Matveev,Mikhail
Matveev,Mihail
Matveyev,Mikhail
Matyeev,Mikhail
Matveyev,Mikhail
m1x,
Wazawaka,
Uhodiransomwar,
boriselcin,
NIKIFOROVICH,Sergei
Nikifarovich,Siarhei
Non-Latin: 郭,Non-Latin: 瑞光
GUO,Yunnian
Non-Latin: 尤里科技发展有限公司,"Non-Latin: YOULI TECHNOLOGY DEVELOPMENT CO., LTD."
Yoli Machine,
Yoli Group Ltd.,
Non-Latin: 亚新通用机械有限公司,"Non-Latin: YASON GENERAL MACHINERY CO., LTD."
Non-Latin: 深圳市亚新通用机械有限公司,"Non-Latin: SHENZHEN YASON GENERAL MACHINERY CO., LTD."
"YASON GENERAL MACHINERY MANUFACTURING CO., LTD.",
"Non-Latin: YASON ELECTRONICS TECHNOLOGY CO., LIMITED",Non-Latin: 亞新電子科技有限公司
TDPMOLDS,
"Non-Latin: YANTAI YIXUN INTERNATIONAL TRADE CO., LTD.",Non-Latin: 烟台易迅国际贸易有限公司
"YANTAI YIXUN INTERNATIONAL TRADE AND COMMERCE CO., LTD.",
